file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
pyproject.toml,pyproject.toml,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,4,4,1,0.00,
scripts/evaluate_public_water.py,scripts/evaluate_public_water.py,2026-07-27T14:08:29+05:30,2026-07-27T14:08:29+05:30,1,1,1,0.00,
scripts/generate_examples.py,scripts/generate_examples.py,2026-07-26T14:03:59+05:30,2026-07-26T14:03:59+05:30,1,1,1,0.00,
src/grounded_docparse/__init__.py,src/grounded_docparse/__init__.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/api.py,src/grounded_docparse/api.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/audit.py,src/grounded_docparse/audit.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/benchmark.py,src/grounded_docparse/benchmark.py,2026-07-27T14:08:29+05:30,2026-07-27T15:36:47+05:30,2,2,1,0.00,
src/grounded_docparse/cli.py,src/grounded_docparse/cli.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/compose_env.py,src/grounded_docparse/compose_env.py,2026-07-26T17:37:35+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/config.py,src/grounded_docparse/config.py,2026-07-26T14:03:59+05:30,2026-07-27T16:27:29+05:30,4,4,1,0.00,
src/grounded_docparse/domain.py,src/grounded_docparse/domain.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/evaluation.py,src/grounded_docparse/evaluation.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/extraction.py,src/grounded_docparse/extraction.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,3,3,1,0.00,
src/grounded_docparse/failures.py,src/grounded_docparse/failures.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/gateways.py,src/grounded_docparse/gateways.py,2026-07-26T14:03:59+05:30,2026-07-27T15:36:47+05:30,4,4,1,0.00,
src/grounded_docparse/ingest.py,src/grounded_docparse/ingest.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,3,3,1,0.00,
src/grounded_docparse/jobs.py,src/grounded_docparse/jobs.py,2026-07-26T15:40:12+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/models.py,src/grounded_docparse/models.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,3,3,1,0.00,
src/grounded_docparse/paddle.py,src/grounded_docparse/paddle.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/paddle_setup.py,src/grounded_docparse/paddle_setup.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
src/grounded_docparse/paddle_worker.py,src/grounded_docparse/paddle_worker.py,2026-07-26T14:03:59+05:30,2026-07-27T14:08:29+05:30,2,2,1,0.00,
